time	V(vout)
7.615117724400097e-03	6.551329e-01
7.634648974400097e-03	6.551329e-01
7.654180224400097e-03	6.551329e-01
7.673711474400096e-03	6.551329e-01
7.693242724400096e-03	6.551329e-01
7.712773974400095e-03	6.551329e-01
7.732305224400095e-03	6.551329e-01
7.751836474400095e-03	6.551329e-01
7.771367724400094e-03	6.551329e-01
7.790898974400094e-03	6.551329e-01
7.810430224400093e-03	6.551329e-01
7.829961474400094e-03	6.551329e-01
7.849492724400093e-03	6.551329e-01
7.869023974400093e-03	6.551329e-01
7.888555224400092e-03	6.551329e-01
7.908086474400092e-03	6.551329e-01
7.927617724400092e-03	6.551329e-01
7.947148974400091e-03	6.551329e-01
7.966680224400091e-03	6.551329e-01
7.986211474400090e-03	6.551329e-01
8.005742724400090e-03	6.551329e-01
8.025273974400090e-03	6.551329e-01
8.044805224400089e-03	6.551329e-01
8.064336474400089e-03	6.551329e-01
8.083867724400088e-03	6.551329e-01
8.103398974400088e-03	6.551329e-01
8.122930224400087e-03	6.551329e-01
8.142461474400087e-03	6.551329e-01
8.161992724400087e-03	6.551329e-01
8.181523974400086e-03	6.551329e-01
8.201055224400086e-03	6.551329e-01
8.220586474400085e-03	6.551329e-01
8.240117724400085e-03	6.551329e-01
8.259648974400085e-03	6.551329e-01
8.279180224400084e-03	6.551329e-01
8.298711474400084e-03	6.551329e-01
8.318242724400083e-03	6.551329e-01
8.337773974400083e-03	6.551329e-01
8.357305224400082e-03	6.551329e-01
8.376836474400082e-03	6.551329e-01
8.396367724400082e-03	6.551329e-01
8.415898974400081e-03	6.551329e-01
8.435430224400081e-03	6.551329e-01
8.454961474400080e-03	6.551329e-01
8.474492724400080e-03	6.551329e-01
8.494023974400080e-03	6.551329e-01
8.513555224400079e-03	6.551329e-01
8.533086474400079e-03	6.551329e-01
8.552617724400078e-03	6.551329e-01
8.572148974400078e-03	6.551329e-01
8.591680224400077e-03	6.551329e-01
8.611211474400077e-03	6.551329e-01
8.630742724400077e-03	6.551329e-01
8.650273974400076e-03	6.551329e-01
8.669805224400076e-03	6.551329e-01
8.689336474400075e-03	6.551329e-01
8.708867724400075e-03	6.551329e-01
8.728398974400075e-03	6.551329e-01
8.747930224400074e-03	6.551329e-01
8.767461474400074e-03	6.551329e-01
8.786992724400073e-03	6.551329e-01
8.806523974400073e-03	6.551329e-01
8.826055224400072e-03	6.551329e-01
8.845586474400072e-03	6.551329e-01
8.865117724400072e-03	6.551329e-01
8.884648974400071e-03	6.551329e-01
8.904180224400071e-03	6.551329e-01
8.923711474400070e-03	6.551329e-01
8.943242724400070e-03	6.551329e-01
8.962773974400070e-03	6.551329e-01
8.982305224400069e-03	6.551329e-01
9.001836474400069e-03	6.551329e-01
9.021367724400068e-03	6.551329e-01
9.040898974400068e-03	6.551329e-01
9.060430224400067e-03	6.551329e-01
9.079961474400067e-03	6.551329e-01
9.099492724400067e-03	6.551329e-01
9.119023974400066e-03	6.551329e-01
9.138555224400066e-03	6.551329e-01
9.158086474400065e-03	6.551329e-01
9.177617724400065e-03	6.551329e-01
9.197148974400065e-03	6.551329e-01
9.216680224400064e-03	6.551329e-01
9.236211474400064e-03	6.551329e-01
9.255742724400063e-03	6.551329e-01
9.275273974400063e-03	6.551329e-01
9.294805224400063e-03	6.551329e-01
9.314336474400062e-03	6.551329e-01
9.333867724400062e-03	6.551329e-01
9.353398974400061e-03	6.551329e-01
9.372930224400061e-03	6.551329e-01
9.392461474400060e-03	6.551329e-01
9.411992724400060e-03	6.551329e-01
9.431523974400060e-03	6.551329e-01
9.451055224400059e-03	6.551329e-01
9.470586474400059e-03	6.551329e-01
9.490117724400058e-03	6.551329e-01
9.509648974400058e-03	6.551329e-01
9.529180224400058e-03	6.551329e-01
9.548711474400057e-03	6.551329e-01
9.568242724400057e-03	6.551329e-01
9.587773974400056e-03	6.551329e-01
9.607305224400056e-03	6.551329e-01
9.626836474400055e-03	6.551329e-01
9.646367724400055e-03	6.551329e-01
9.665898974400055e-03	6.551329e-01
9.685430224400054e-03	6.551329e-01
9.704961474400054e-03	6.551329e-01
9.724492724400053e-03	6.551329e-01
9.744023974400053e-03	6.551329e-01
9.763555224400053e-03	6.551329e-01
9.783086474400052e-03	6.551329e-01
9.802617724400052e-03	6.551329e-01
9.822148974400051e-03	6.551329e-01
9.841680224400051e-03	6.551329e-01
9.861211474400050e-03	6.551329e-01
9.880742724400050e-03	6.551329e-01
9.900273974400050e-03	6.551329e-01
9.919805224400049e-03	6.551329e-01
9.939336474400049e-03	6.551329e-01
9.958867724400048e-03	6.551329e-01
9.978398974400048e-03	6.551329e-01
9.997930224400048e-03	6.551329e-01
1.001746147440005e-02	6.551329e-01
1.003699272440005e-02	6.551329e-01
1.005652397440005e-02	6.551329e-01
1.007605522440005e-02	6.551329e-01
1.009558647440005e-02	6.551329e-01
1.011511772440005e-02	6.551329e-01
1.013464897440004e-02	6.551329e-01
1.015418022440004e-02	6.551329e-01
1.017371147440004e-02	6.551329e-01
1.019324272440004e-02	6.551329e-01
1.021277397440004e-02	6.551329e-01
1.023230522440004e-02	6.551329e-01
1.025183647440004e-02	6.551329e-01
1.027136772440004e-02	6.551329e-01
1.029089897440004e-02	6.551329e-01
1.031043022440004e-02	6.551329e-01
1.032996147440004e-02	6.551329e-01
1.034949272440004e-02	6.551329e-01
1.036902397440004e-02	6.551329e-01
1.038855522440004e-02	6.551329e-01
1.040808647440004e-02	6.551329e-01
1.042761772440004e-02	6.551329e-01
1.044714897440004e-02	6.551329e-01
1.046668022440004e-02	6.551329e-01
1.048621147440004e-02	6.551329e-01
1.050574272440004e-02	6.551329e-01
1.052527397440004e-02	6.551329e-01
1.054480522440004e-02	6.551329e-01
1.056433647440004e-02	6.551329e-01
1.058386772440004e-02	6.551329e-01
1.060339897440003e-02	6.551329e-01
1.062293022440003e-02	6.551329e-01
1.064246147440003e-02	6.551329e-01
1.066199272440003e-02	6.551329e-01
1.068152397440003e-02	6.551329e-01
1.070105522440003e-02	6.551329e-01
1.072058647440003e-02	6.551329e-01
1.074011772440003e-02	6.551329e-01
1.075964897440003e-02	6.551329e-01
1.077918022440003e-02	6.551329e-01
1.079871147440003e-02	6.551329e-01
1.081824272440003e-02	6.551329e-01
1.083777397440003e-02	6.551329e-01
1.085730522440003e-02	6.551329e-01
1.087683647440003e-02	6.551329e-01
1.089636772440003e-02	6.551329e-01
1.091589897440003e-02	6.551329e-01
1.093543022440003e-02	6.551329e-01
1.095496147440003e-02	6.551329e-01
1.097449272440003e-02	6.551329e-01
1.099402397440003e-02	6.551329e-01
1.101355522440003e-02	6.551329e-01
1.103308647440003e-02	6.551329e-01
1.105261772440003e-02	6.551329e-01
1.107214897440002e-02	6.551329e-01
1.109168022440002e-02	6.551329e-01
1.111121147440002e-02	6.551329e-01
1.113074272440002e-02	6.551329e-01
1.115027397440002e-02	6.551329e-01
1.116980522440002e-02	6.551329e-01
1.118933647440002e-02	6.551329e-01
1.120886772440002e-02	6.551329e-01
1.122839897440002e-02	6.551329e-01
1.124793022440002e-02	6.551329e-01
1.126746147440002e-02	6.551329e-01
1.128699272440002e-02	6.551329e-01
1.130652397440002e-02	6.551329e-01
1.132605522440002e-02	6.551329e-01
1.134558647440002e-02	6.551329e-01
1.136511772440002e-02	6.551329e-01
1.138464897440002e-02	6.551329e-01
1.140418022440002e-02	6.551329e-01
1.142371147440002e-02	6.551329e-01
1.144324272440002e-02	6.551329e-01
1.146277397440002e-02	6.551329e-01
1.148230522440002e-02	6.551329e-01
1.150183647440002e-02	6.551329e-01
1.152136772440002e-02	6.551329e-01
1.154089897440001e-02	6.551329e-01
1.156043022440001e-02	6.551329e-01
1.157996147440001e-02	6.551329e-01
1.159949272440001e-02	6.551329e-01
1.161902397440001e-02	6.551329e-01
1.163855522440001e-02	6.551329e-01
1.165808647440001e-02	6.551329e-01
1.167761772440001e-02	6.551329e-01
1.169714897440001e-02	6.551329e-01
1.171668022440001e-02	6.551329e-01
1.173621147440001e-02	6.551329e-01
1.175574272440001e-02	6.551329e-01
1.177527397440001e-02	6.551329e-01
1.179480522440001e-02	6.551329e-01
1.181433647440001e-02	6.551329e-01
1.183386772440001e-02	6.551329e-01
1.185339897440001e-02	6.551329e-01
1.187293022440001e-02	6.551329e-01
1.189246147440001e-02	6.551329e-01
1.191199272440001e-02	6.551329e-01
1.193152397440001e-02	6.551329e-01
1.195105522440001e-02	6.551329e-01
1.197058647440001e-02	6.551329e-01
1.199011772440001e-02	6.551329e-01
1.200964897440000e-02	6.551329e-01
1.202918022440000e-02	6.551329e-01
1.204871147440000e-02	6.551329e-01
1.206824272440000e-02	6.551329e-01
1.208777397440000e-02	6.551329e-01
1.210730522440000e-02	6.551329e-01
1.212683647440000e-02	6.551329e-01
1.214636772440000e-02	6.551329e-01
1.216589897440000e-02	6.551329e-01
1.218543022440000e-02	6.551329e-01
1.220496147440000e-02	6.551329e-01
1.222449272440000e-02	6.551329e-01
1.224402397440000e-02	6.551329e-01
1.226355522440000e-02	6.551329e-01
1.228308647440000e-02	6.551329e-01
1.230261772440000e-02	6.551329e-01
1.232214897440000e-02	6.551329e-01
1.234168022440000e-02	6.551329e-01
1.236121147440000e-02	6.551329e-01
1.238074272440000e-02	6.551329e-01
1.240027397440000e-02	6.551329e-01
1.241980522440000e-02	6.551329e-01
1.243933647440000e-02	6.551329e-01
1.245886772440000e-02	6.551329e-01
1.247839897439999e-02	6.551329e-01
1.249793022439999e-02	6.551329e-01
1.249999607333479e-02	6.551329e-01
1.250000000000000e-02	-1.366426e-01
1.250006282664332e-02	-1.967223e-01
1.250011777068867e-02	-2.492115e-01
1.250018385264309e-02	-3.122735e-01
1.250031601655195e-02	-4.381651e-01
1.250058034436965e-02	-6.889391e-01
1.250110900000506e-02	-1.185819e+00
1.250216631127588e-02	-2.155985e+00
1.250428093381752e-02	-3.965128e+00
1.250851017890080e-02	-6.816597e+00
1.251375572355442e-02	-8.520998e+00
1.251670070343039e-02	-8.480182e+00
1.252029228976040e-02	-7.493399e+00
1.252421019832270e-02	-5.447537e+00
1.252920291350616e-02	-1.953797e+00
1.253320040486369e-02	1.053834e+00
1.253732420570737e-02	3.808629e+00
1.254123897190408e-02	5.725106e+00
1.254548610442938e-02	6.751618e+00
1.254824618598629e-02	6.773771e+00
1.255196929519609e-02	6.032479e+00
1.255572162790435e-02	4.529482e+00
1.256082005221961e-02	1.738988e+00
1.256483971977978e-02	-6.687480e-01
1.256901743968642e-02	-2.913961e+00
1.257281888014230e-02	-4.441408e+00
1.257719435941542e-02	-5.345435e+00
1.257993751615653e-02	-5.396792e+00
1.258389605945479e-02	-4.796272e+00
1.258750861360070e-02	-3.655271e+00
1.259256438313519e-02	-1.471050e+00
1.259657647494917e-02	4.404557e-01
1.260077303641314e-02	2.247815e+00
1.260457818929702e-02	3.484883e+00
1.260905920564120e-02	4.242370e+00
1.261185136613814e-02	4.289523e+00
1.261584991141306e-02	3.808256e+00
1.261945210056869e-02	2.902863e+00
1.262449834258867e-02	1.170098e+00
1.262850876552555e-02	-3.483047e-01
1.263270430913236e-02	-1.784528e+00
